布靡そ絪腹,笲そ絪腹,腹,布贺絪腹,布贺絏,隔絬そ隔絪腹,诀絪腹,ó腹,ó丁(),璸禣(),璸禣(),ó丁(),璸禣(),璸禣(),ユ龟Ι,﹍布基,纔磃布基,纔磃肂
EasyCard,47000,103435185,0,布,1133,151,948-FW,2017/1/18 12:10,12,び緗徽,2017/1/18 12:26,15,嘹也爵,42,48,42,6
EasyCard,47000,103704833,0,布,1133,208,938-FW,2017/1/29 16:07,0,浆ó,2017/1/29 16:13,0,浆ó,21,24,21,3
EasyCard,47000,1057445171,0,布,1141,101,925-FW,2017/1/21 08:37,0,浆ó,2017/1/21 09:00,1,盵,21,24,21,3
EasyCard,47000,1069578883,0,布,1133,208,938-FW,2017/1/30 15:01,11,碔,2017/1/30 15:03,10,穝,21,24,21,3
EasyCard,47000,1081803635,1,穛ρ1布,1133,123,955-FW,2017/1/3 12:15,12,び緗徽,2017/1/3 12:42,15,嘹也爵,21,24,21,3
EasyCard,47000,1085991956,0,布,1133,219,919-FW,2017/1/14 17:20,13,琄爵,2017/1/14 17:32,10,穝,24,27,24,3
EasyCard,47000,1088697107,1,穛ρ1布,1133,223,428-FQ,2017/1/12 10:47,0,浆ó,2017/1/12 12:34,15,嘹也爵,63,72,63,9
EasyCard,47000,1088697107,1,穛ρ1布,1133,223,428-FQ,2017/1/12 14:17,15,嘹也爵,2017/1/12 14:38,13,琄爵,16,18,16,2
EasyCard,47000,1090531187,1,穛ρ1布,1133,134,FAC-711,2017/1/15 13:38,0,浆ó,2017/1/15 15:44,17,ぱ不,76,86,76,10
EasyCard,47000,1115161091,0,布,1133,221,472-FQ,2017/1/9 13:47,0,浆ó,2017/1/9 13:58,0,浆ó,21,24,21,3
EasyCard,47000,1131480720,0,布,1133,178,430-FQ,2017/1/24 12:14,12,び緗徽,2017/1/24 12:56,17,ぱ不,67,76,67,9
EasyCard,47000,1131483168,0,布,1133,178,430-FQ,2017/1/24 12:13,12,び緗徽,2017/1/24 12:56,17,ぱ不,67,76,67,9
EasyCard,47000,1140473683,0,布,1133,104,953-FW,2017/1/30 16:40,11,碔,2017/1/30 16:56,10,穝,21,24,21,3
EasyCard,47000,1164818152,1,穛ρ1布,1133,178,430-FQ,2017/1/5 15:12,7,芖,2017/1/5 15:27,2,浆,15,17,15,2
EasyCard,47000,1164818152,1,穛ρ1布,1133,178,430-FQ,2017/1/17 11:23,2,浆,2017/1/17 11:41,7,芖,15,17,15,2
