布靡そ絪腹,笲そ絪腹,腹,布贺絪腹,布贺絏,隔絬そ隔絪腹,诀絪腹,ó腹,ó丁(),璸禣(),璸禣(),ó丁(),璸禣(),璸禣(),ユ龟Ι,﹍布基,纔磃布基,纔磃肂
EasyCard,47000,1030352746,8,担布,1126,135,927-FW,2017/12/20 09:35,17,ぱ不,2017/12/20 10:05,12,び緗徽,28,32,28,4
EasyCard,47000,103324017,0,布,1141,135,927-FW,2017/12/23 08:36,0,浆ó,2017/12/23 09:12,3,古ń,28,32,28,4
EasyCard,47000,103324017,0,布,1141,135,927-FW,2017/12/30 08:37,0,浆ó,2017/12/30 09:11,3,古ń,28,32,28,4
EasyCard,47000,104429153,0,布,1141,135,927-FW,2017/12/3 09:33,10,穝,2017/12/3 11:16,23,稯,170,193,170,23
EasyCard,47000,106229521,3,稲み布,1133,151,948-FW,2017/12/15 15:35,1,盵,2017/12/15 15:43,0,浆ó,11,12,11,1
EasyCard,47000,106447713,0,布,1133,274,451-FQ,2017/12/11 17:23,12,び緗徽,2017/12/11 18:44,0,浆ó,87,99,87,12
EasyCard,47000,106449153,0,布,1133,274,451-FQ,2017/12/11 17:23,12,び緗徽,2017/12/11 18:44,0,浆ó,87,99,87,12
EasyCard,47000,106506593,0,布,1133,144,951-FW,2017/12/30 15:06,12,び緗徽,2017/12/30 15:12,10,穝,21,24,21,3
EasyCard,47000,1070531267,0,布,1133,293,916-FW,2017/12/28 13:45,0,浆ó,2017/12/28 14:02,0,浆ó,21,24,21,3
EasyCard,47000,107721249,1,穛ρ1布,1126,135,927-FW,2017/12/20 09:35,17,ぱ不,2017/12/20 10:05,12,び緗徽,28,32,28,4
EasyCard,47000,107751089,1,穛ρ1布,1133,219,938-FW,2017/12/23 17:29,12,び緗徽,2017/12/23 18:44,0,浆ó,44,50,44,6
EasyCard,47000,107758209,1,穛ρ1布,1133,274,451-FQ,2017/12/4 11:13,1,盵,2017/12/4 12:15,11,碔,35,39,35,4
EasyCard,47000,108136737,1,穛ρ1布,1141,135,927-FW,2017/12/30 08:38,0,浆ó,2017/12/30 08:47,0,浆ó,11,12,11,1
EasyCard,47000,108668657,1,穛ρ1布,1133,274,451-FQ,2017/12/4 11:14,1,盵,2017/12/4 12:15,11,碔,35,39,35,4
EasyCard,47000,108699553,1,穛ρ1布,1133,274,451-FQ,2017/12/4 11:13,1,盵,2017/12/4 12:14,11,碔,35,39,35,4
EasyCard,47000,1092268915,5,厩ネ布,1133,290,917-FW,2017/12/4 17:24,12,び緗徽,2017/12/4 17:37,10,穝,21,24,21,3
EasyCard,47000,1093493395,3,稲み布,1133,189,427-FQ,2017/12/31 10:49,0,浆ó,2017/12/31 11:40,6,眃贾,20,22,20,2
EasyCard,47000,109559553,1,穛ρ1布,1126,135,927-FW,2017/12/31 09:31,13,琄爵,2017/12/31 09:35,12,び緗徽,11,13,11,2
EasyCard,47000,109758545,0,布,1133,182,496-FQ,2017/12/29 14:21,15,嘹也爵,2017/12/29 14:54,10,穝,57,65,57,8
EasyCard,47000,109778225,0,布,1133,293,916-FW,2017/12/28 17:11,15,嘹也爵,2017/12/28 17:36,10,穝,57,65,57,8
EasyCard,47000,109820225,0,布,1133,219,938-FW,2017/12/23 17:02,16,厚,2017/12/23 17:02,15,嘹也爵,22,26,22,4
EasyCard,47000,109822289,0,布,1133,182,496-FQ,2017/12/29 14:21,15,嘹也爵,2017/12/29 14:55,10,穝,57,65,57,8
EasyCard,47000,109850209,0,布,1133,293,916-FW,2017/12/28 17:11,15,嘹也爵,2017/12/28 17:37,10,穝,57,65,57,8
EasyCard,47000,110067105,1,穛ρ1布,1133,182,496-FQ,2017/12/25 10:52,0,浆ó,2017/12/25 12:05,12,び緗徽,44,50,44,6
EasyCard,47000,110512625,0,布,1133,105,950-FW,2017/12/3 10:50,0,浆ó,2017/12/3 10:58,0,浆ó,21,24,21,3
EasyCard,47000,1161381363,0,布,1133,182,496-FQ,2017/12/16 17:24,12,び緗徽,2017/12/16 17:37,10,穝,21,24,21,3
EasyCard,47000,1167471827,0,布,1133,182,496-FQ,2017/12/29 10:45,0,浆ó,2017/12/29 10:46,0,浆ó,21,24,21,3
EasyCard,47000,1167471827,0,布,1133,262,473-FQ,2017/12/29 17:01,16,厚,2017/12/29 18:40,0,浆ó,149,170,149,21
EasyCard,47000,1170408815,0,布,1126,135,927-FW,2017/12/20 09:35,17,ぱ不,2017/12/20 10:05,12,び緗徽,56,63,56,7
EasyCard,47000,1182373864,1,穛ρ1布,1126,135,927-FW,2017/12/8 06:47,1,盵,2017/12/8 06:50,2,浆,11,12,11,1
EasyCard,47000,1182373864,1,穛ρ1布,1126,135,927-FW,2017/12/31 06:47,1,盵,2017/12/31 06:50,2,浆,11,12,11,1
EasyCard,47000,1182373864,1,穛ρ1布,1141,135,927-FW,2017/12/23 09:02,1,盵,2017/12/23 09:11,3,古ń,11,12,11,1
EasyCard,47000,1182382312,1,穛ρ1布,1133,262,473-FQ,2017/12/29 17:02,16,厚,2017/12/29 18:41,0,浆ó,75,85,75,10
EasyCard,47000,1182500072,1,穛ρ1布,1133,219,938-FW,2017/12/23 13:42,14,匪痐,2017/12/23 15:51,17,ぱ不,23,27,23,4
EasyCard,47000,1182500072,1,穛ρ1布,1133,219,938-FW,2017/12/23 16:39,17,ぱ不,2017/12/23 18:46,0,浆ó,78,89,78,11
EasyCard,47000,1182524648,1,穛ρ1布,1141,135,927-FW,2017/12/15 08:50,0,浆ó,2017/12/15 09:21,6,眃贾,20,22,20,2
EasyCard,47000,1182534376,1,穛ρ1布,1133,182,496-FQ,2017/12/24 11:56,10,穝,2017/12/24 12:03,12,び緗徽,11,12,11,1
EasyCard,47000,119131958,0,布,1141,135,927-FW,2017/12/5 10:11,17,ぱ不,2017/12/5 10:23,18,ゅ,22,25,22,3
EasyCard,47000,1196142056,1,穛ρ1布,1133,109,495-FQ,2017/12/6 11:11,0,浆ó,2017/12/6 12:05,10,穝,36,41,36,5
EasyCard,47000,1196142056,1,穛ρ1布,1133,286,428-FQ,2017/12/14 11:11,0,浆ó,2017/12/14 12:00,10,穝,36,41,36,5
EasyCard,47000,1196166888,1,穛ρ1布,1133,139,421-FQ,2017/12/12 10:50,0,浆ó,2017/12/12 11:06,0,浆ó,11,12,11,1
EasyCard,47000,1196362728,1,穛ρ1布,1126,219,930-FW,2017/12/14 06:18,0,浆ó,2017/12/14 08:17,22,秽,91,104,91,13
EasyCard,47000,1196362728,1,穛ρ1布,1126,219,930-FW,2017/12/14 08:39,22,秽,2017/12/14 11:42,0,浆ó,91,104,91,13
EasyCard,47000,1196362728,1,穛ρ1布,1133,219,930-FW,2017/12/15 13:37,0,浆ó,2017/12/15 15:38,17,ぱ不,78,89,78,11
EasyCard,47000,1196362728,1,穛ρ1布,1133,219,930-FW,2017/12/15 16:36,17,ぱ不,2017/12/15 18:41,0,浆ó,78,89,78,11
EasyCard,47000,1197048808,3,稲み布,1133,189,427-FQ,2017/12/31 15:35,3,古ń,2017/12/31 15:54,0,浆ó,14,16,14,2
EasyCard,47000,1197056232,3,稲み布,1133,105,950-FW,2017/12/26 16:02,0,浆ó,2017/12/26 16:08,0,浆ó,11,12,11,1
EasyCard,47000,1197062376,1,穛ρ1布,1133,109,495-FQ,2017/12/13 16:27,2,浆,2017/12/13 16:37,0,浆ó,11,12,11,1
EasyCard,47000,1197136872,1,穛ρ1布,1133,151,948-FW,2017/12/15 11:16,1,盵,2017/12/15 11:55,10,穝,29,32,29,3
EasyCard,47000,1197136872,1,穛ρ1布,1133,262,472-FQ,2017/12/7 14:07,0,浆ó,2017/12/7 14:53,9,╭狶,33,38,33,5
EasyCard,47000,1210199752,0,布,1133,138,953-FW,2017/12/20 15:39,2,浆,2017/12/20 16:03,0,浆ó,21,24,21,3
EasyCard,47000,1229946882,0,布,1133,290,917-FW,2017/12/4 17:24,12,び緗徽,2017/12/4 17:37,10,穝,21,24,21,3
EasyCard,47000,1249527424,0,布,1126,135,927-FW,2017/12/24 08:34,20,﹁腳,2017/12/24 10:29,0,浆ó,159,181,159,22
EasyCard,47000,139063553,5,厩ネ布,1133,120,923-FW,2017/12/30 17:12,15,嘹也爵,2017/12/30 17:38,12,び緗徽,43,49,43,6
EasyCard,47000,139298977,5,厩ネ布,1133,120,923-FW,2017/12/30 17:12,15,嘹也爵,2017/12/30 18:50,0,浆ó,130,148,130,18
EasyCard,47000,139301825,5,厩ネ布,1133,120,923-FW,2017/12/30 17:12,15,嘹也爵,2017/12/30 18:50,0,浆ó,130,148,130,18
EasyCard,47000,139531087,0,布,1133,219,930-FW,2017/12/15 17:23,12,び緗徽,2017/12/15 18:25,0,浆ó,87,99,87,12
EasyCard,47000,140241889,0,布,1133,182,496-FQ,2017/12/25 14:44,15,嘹也爵,2017/12/25 16:21,0,浆ó,130,148,130,18
EasyCard,47000,140299407,0,布,1133,144,951-FW,2017/12/9 10:40,0,浆ó,2017/12/9 12:08,12,び緗徽,87,99,87,12
EasyCard,47000,1420072916,0,布,1133,182,496-FQ,2017/12/29 10:46,0,浆ó,2017/12/29 11:07,0,浆ó,21,24,21,3
EasyCard,47000,142042625,0,布,1133,189,427-FQ,2017/12/31 15:05,10,穝,2017/12/31 15:56,0,浆ó,72,82,72,10
EasyCard,47000,1433360374,0,布,1126,135,927-FW,2017/12/18 10:29,5,瓾,2017/12/18 11:00,0,浆ó,33,38,33,5
EasyCard,47000,1433360374,0,布,1133,293,916-FW,2017/12/21 13:54,0,浆ó,2017/12/21 14:29,5,瓾,33,38,33,5
EasyCard,47000,1436512314,0,布,1133,274,451-FQ,2017/12/4 11:13,1,盵,2017/12/4 12:13,11,碔,69,78,69,9
EasyCard,47000,14418293,0,布,1133,144,951-FW,2017/12/30 12:11,12,び緗徽,2017/12/30 12:26,15,嘹也爵,43,49,43,6
