布靡そ絪腹,笲そ絪腹,腹,布贺絪腹,布贺絏,隔絬そ隔絪腹,诀絪腹,ó腹,ó丁(),璸禣(),璸禣(),ó丁(),璸禣(),璸禣(),ユ龟Ι,﹍布基,纔磃布基,纔磃肂
EasyCard,47000,102079553,0,布,1133,103,923-FW,2017/3/30 14:08,0,浆ó,2017/3/30 14:48,10,穝,72,82,72,10
EasyCard,47000,102572449,0,布,1133,175,429-FQ,2017/3/20 11:49,10,穝,2017/3/20 12:35,15,嘹也爵,57,65,57,8
EasyCard,47000,104042417,0,布,1133,189,427-FQ,2017/3/26 18:06,5,瓾,2017/3/26 18:20,1,盵,21,24,21,3
EasyCard,47000,107001297,3,稲み布,1133,144,425-FQ,2017/3/31 15:47,0,浆ó,2017/3/31 16:04,0,浆ó,11,12,11,1
EasyCard,47000,1083007635,1,穛ρ1布,1133,270,961-FW,2017/3/15 14:51,15,嘹也爵,2017/3/15 15:18,10,穝,29,33,29,4
EasyCard,47000,1083016915,1,穛ρ1布,1133,270,961-FW,2017/3/15 14:52,15,嘹也爵,2017/3/15 15:17,10,穝,29,33,29,4
EasyCard,47000,108873313,1,穛ρ1布,1133,105,950-FW,2017/3/12 12:00,12,穝,2017/3/12 12:48,17,び緗徽,18,21,18,3
EasyCard,47000,1108591727,0,布,1133,105,963-FW,2017/3/6 15:32,0,浆ó,2017/3/6 15:56,0,浆ó,21,24,21,3
EasyCard,47000,1144436207,0,布,1133,135,927-FW,2017/3/17 16:55,15,嘹也爵,2017/3/17 18:23,0,浆ó,130,148,130,18
EasyCard,47000,1155157587,1,穛ρ1布,1133,270,961-FW,2017/3/15 14:51,15,嘹也爵,2017/3/15 15:18,10,穝,29,33,29,4
EasyCard,47000,1159107016,0,布,1133,109,495-FQ,2017/3/14 10:49,0,浆ó,2017/3/14 10:59,0,浆ó,21,24,21,3
EasyCard,47000,1164818152,1,穛ρ1布,1126,135,927-FW,2017/3/4 06:54,2,浆,2017/3/4 07:04,7,芖,14,16,14,2
EasyCard,47000,1164818152,1,穛ρ1布,1133,148,423-FQ,2017/3/7 17:48,7,芖,2017/3/7 18:04,2,浆,15,17,15,2
EasyCard,47000,1164818152,1,穛ρ1布,1133,148,953-FW,2017/3/1 13:48,0,浆ó,2017/3/1 14:35,6,眃贾,19,22,19,3
EasyCard,47000,1164818152,1,穛ρ1布,1133,226,931-FW,2017/3/8 11:23,2,浆,2017/3/8 11:40,7,芖,15,17,15,2
EasyCard,47000,1169937935,0,布,1126,135,927-FW,2017/3/4 07:19,10,穝,2017/3/4 07:36,15,嘹也爵,41,46,41,5
EasyCard,47000,1169937935,0,布,1133,268,428-FQ,2017/3/4 14:14,17,ぱ不,2017/3/4 14:49,17,ぱ不,21,24,21,3
EasyCard,47000,1182373864,1,穛ρ1布,1126,135,927-FW,2017/3/16 06:47,1,盵,2017/3/16 06:54,2,浆,11,12,11,1
EasyCard,47000,1182373864,1,穛ρ1布,1141,135,927-FW,2017/3/28 08:58,1,盵,2017/3/28 09:28,10,穝,27,31,27,4
EasyCard,47000,1182373864,1,穛ρ1布,1141,135,927-FW,2017/3/31 08:59,1,盵,2017/3/31 09:08,3,古ń,11,12,11,1
