布靡そ絪腹,笲そ絪腹,腹,布贺絪腹,布贺絏,隔絬そ隔絪腹,诀絪腹,ó腹,ó丁(),璸禣(),璸禣(),ó丁(),璸禣(),璸禣(),ユ龟Ι,﹍布基,纔磃布基,纔磃肂
EasyCard,47000,1044479328,0,布,1126,133,930-FW,2017/5/14 06:29,0,浆ó,2017/5/14 07:51,17,ぱ不,137,156,137,19
EasyCard,47000,1066750992,5,厩ネ布,1126,135,927-FW,2017/5/26 06:28,0,浆ó,2017/5/26 06:55,4,0き洛皘,30,34,30,4
EasyCard,47000,1070647155,0,布,1133,270,961-FW,2017/5/1 14:58,11,碔,2017/5/1 16:19,10,穝,21,24,21,3
EasyCard,47000,108684001,1,穛ρ1布,1133,103,923-FW,2017/5/28 14:04,17,ぱ不,2017/5/28 15:21,14,匪痐,23,27,23,4
EasyCard,47000,109967089,0,布,1133,247,952-FW,2017/5/6 15:04,12,び緗徽,2017/5/6 15:30,15,嘹也爵,43,49,43,6
EasyCard,47000,110069361,1,穛ρ1布,1133,189,427-FQ,2017/5/7 14:53,12,び緗徽,2017/5/7 16:06,0,浆ó,44,50,44,6
EasyCard,47000,110069361,1,穛ρ1布,1141,135,927-FW,2017/5/7 08:33,0,浆ó,2017/5/7 10:06,17,ぱ不,69,78,69,9
EasyCard,47000,110782351,0,布,1133,205,949-FW,2017/5/13 12:54,16,厚,2017/5/13 13:00,17,ぱ不,22,25,22,3
EasyCard,47000,112360294,0,布,1133,145,976-FW,2017/5/22 11:57,10,穝,2017/5/22 12:05,12,び緗徽,21,24,21,3
EasyCard,47000,1142144222,0,布,1133,247,978-FW,2017/5/28 17:17,12,び緗徽,2017/5/28 18:35,0,浆ó,87,99,87,12
EasyCard,47000,1164818152,1,穛ρ1布,1133,138,953-FW,2017/5/26 11:08,0,浆ó,2017/5/26 11:28,3,古ń,14,16,14,2
EasyCard,47000,117783745,0,布,1133,105,950-FW,2017/5/29 15:06,12,び緗徽,2017/5/29 15:15,10,穝,21,24,21,3
EasyCard,47000,1182373864,1,穛ρ1布,1126,135,927-FW,2017/5/24 06:47,1,盵,2017/5/24 06:50,2,浆,11,12,11,1
EasyCard,47000,1182373864,1,穛ρ1布,1141,133,925-FW,2017/5/5 08:59,1,盵,2017/5/5 09:09,3,古ń,11,12,11,1
EasyCard,47000,1182373864,1,穛ρ1布,1141,133,925-FW,2017/5/9 08:55,0,浆ó,2017/5/9 09:02,1,盵,11,12,11,1
EasyCard,47000,1182373864,1,穛ρ1布,1141,135,927-FW,2017/5/4 08:54,0,浆ó,2017/5/4 09:00,1,盵,11,12,11,1
EasyCard,47000,1182439912,1,穛ρ1布,1133,219,919-FW,2017/5/25 13:50,0,浆ó,2017/5/25 14:12,2,浆,11,12,11,1
EasyCard,47000,1182524392,1,穛ρ1布,1133,105,950-FW,2017/5/29 11:13,0,浆ó,2017/5/29 11:40,6,眃贾,20,22,20,2
EasyCard,47000,1182524392,1,穛ρ1布,1133,123,955-FW,2017/5/30 10:51,0,浆ó,2017/5/30 11:27,6,眃贾,20,22,20,2
EasyCard,47000,1182524392,1,穛ρ1布,1133,134,430-FQ,2017/5/5 11:10,0,浆ó,2017/5/5 11:31,6,眃贾,20,22,20,2
EasyCard,47000,1182524392,1,穛ρ1布,1133,138,953-FW,2017/5/26 14:00,17,ぱ不,2017/5/26 15:22,6,眃贾,58,66,58,8
EasyCard,47000,1182524392,1,穛ρ1布,1133,145,976-FW,2017/5/22 11:08,0,浆ó,2017/5/22 11:34,6,眃贾,20,22,20,2
EasyCard,47000,1182524392,1,穛ρ1布,1133,151,948-FW,2017/5/12 11:12,0,浆ó,2017/5/12 11:33,6,眃贾,20,22,20,2
EasyCard,47000,1182524392,1,穛ρ1布,1133,182,496-FQ,2017/5/3 11:08,0,浆ó,2017/5/3 11:29,6,眃贾,20,22,20,2
EasyCard,47000,1182524392,1,穛ρ1布,1133,189,427-FQ,2017/5/7 10:47,0,浆ó,2017/5/7 11:35,6,眃贾,20,22,20,2
EasyCard,47000,1182524392,1,穛ρ1布,1133,189,427-FQ,2017/5/23 11:03,0,浆ó,2017/5/23 11:31,6,眃贾,20,22,20,2
EasyCard,47000,1182524392,1,穛ρ1布,1133,205,949-FW,2017/5/13 11:08,0,浆ó,2017/5/13 11:30,5,瓾,17,19,17,2
EasyCard,47000,1182524392,1,穛ρ1布,1133,219,919-FW,2017/5/25 14:06,0,浆ó,2017/5/25 14:30,6,眃贾,20,22,20,2
EasyCard,47000,1182524392,1,穛ρ1布,1141,135,927-FW,2017/5/4 08:54,0,浆ó,2017/5/4 09:19,6,眃贾,20,22,20,2
EasyCard,47000,1182531304,1,穛ρ1布,1141,135,927-FW,2017/5/4 08:54,0,浆ó,2017/5/4 09:19,6,眃贾,20,22,20,2
EasyCard,47000,1182532584,1,穛ρ1布,1133,247,978-FW,2017/5/28 13:46,0,浆ó,2017/5/28 13:56,0,浆ó,11,12,11,1
EasyCard,47000,1191965571,0,布,1133,175,429-FQ,2017/5/3 13:39,0,浆ó,2017/5/3 14:03,0,浆ó,21,24,21,3
EasyCard,47000,119576550,4,抄︸布(布),1133,247,952-FW,2017/5/6 16:40,17,ぱ不,2017/5/6 18:04,0,浆ó,78,89,78,11
EasyCard,47000,1195920858,0,布,1133,151,948-FW,2017/5/12 10:51,0,浆ó,2017/5/12 11:01,0,浆ó,21,24,21,3
EasyCard,47000,1196119784,3,稲み布,1133,134,430-FQ,2017/5/16 10:47,0,浆ó,2017/5/16 10:58,0,浆ó,11,12,11,1
EasyCard,47000,1196142056,1,穛ρ1布,1133,138,953-FW,2017/5/26 11:10,0,浆ó,2017/5/26 11:58,10,穝,36,41,36,5
EasyCard,47000,1196142056,1,穛ρ1布,1141,135,927-FW,2017/5/25 09:26,10,穝,2017/5/25 09:31,12,び緗徽,11,12,11,1
EasyCard,47000,1196541672,3,稲み布,1133,134,430-FQ,2017/5/5 16:01,1,盵,2017/5/5 16:19,0,浆ó,11,12,11,1
EasyCard,47000,1197056232,3,稲み布,1133,134,430-FQ,2017/5/16 15:45,0,浆ó,2017/5/16 15:50,0,浆ó,11,12,11,1
EasyCard,47000,1197160936,1,穛ρ1布,1141,135,927-FW,2017/5/18 08:35,0,浆ó,2017/5/18 09:54,17,ぱ不,69,78,69,9
EasyCard,47000,1197177064,1,穛ρ1布,1126,133,925-FW,2017/5/6 10:26,2,浆,2017/5/6 10:42,0,浆ó,11,12,11,1
EasyCard,47000,1223749080,0,布,1141,135,927-FW,2017/5/29 09:41,12,び緗徽,2017/5/29 11:55,24,拉,217,247,217,30
EasyCard,47000,1228497410,0,布,1133,227,423-FQ,2017/5/1 14:58,12,び緗徽,2017/5/1 15:07,10,穝,21,24,21,3
EasyCard,47000,12541061,0,布,1133,105,950-FW,2017/5/29 15:06,12,び緗徽,2017/5/29 15:15,10,穝,21,24,21,3
EasyCard,47000,1256770504,0,布,1133,103,923-FW,2017/5/28 16:05,12,び緗徽,2017/5/28 17:05,0,浆ó,87,99,87,12
EasyCard,47000,1292901832,0,布,1141,135,927-FW,2017/5/27 09:38,12,び緗徽,2017/5/27 10:04,17,ぱ不,56,64,56,8
EasyCard,47000,129810022,0,布,1133,145,976-FW,2017/5/22 11:57,10,穝,2017/5/22 12:05,12,び緗徽,21,24,21,3
EasyCard,47000,1300510920,0,布,1133,175,423-FQ,2017/5/10 11:55,10,穝,2017/5/10 12:04,12,び緗徽,21,24,21,3
EasyCard,47000,1300774856,0,布,1133,151,948-FW,2017/5/12 14:40,13,琄爵,2017/5/12 15:39,0,浆ó,97,110,97,13
EasyCard,47000,1300797896,0,布,1133,151,948-FW,2017/5/12 14:40,13,琄爵,2017/5/12 15:39,0,浆ó,97,110,97,13
EasyCard,47000,1301202376,0,布,1133,189,427-FQ,2017/5/7 12:12,12,び緗徽,2017/5/7 12:28,15,嘹也爵,43,49,43,6
EasyCard,47000,1302711752,0,布,1133,182,496-FQ,2017/5/3 10:46,0,浆ó,2017/5/3 11:53,12,び緗徽,87,99,87,12
EasyCard,47000,1303102920,0,布,1133,175,423-FQ,2017/5/10 11:55,10,穝,2017/5/10 12:04,12,び緗徽,21,24,21,3
EasyCard,47000,1328864356,0,布,1133,269,925-FW,2017/5/2 16:39,17,ぱ不,2017/5/2 18:52,0,浆ó,155,177,155,22
EasyCard,47000,1340226280,0,布,1141,135,927-FW,2017/5/12 08:35,0,浆ó,2017/5/12 11:39,24,拉,298,339,298,41
EasyCard,47000,1343920000,5,厩ネ布,1133,103,923-FW,2017/5/28 16:05,12,び緗徽,2017/5/28 17:05,0,浆ó,87,99,87,12
EasyCard,47000,134432337,0,布,1141,133,925-FW,2017/5/5 16:00,24,拉,2017/5/5 18:32,10,穝,228,259,228,31
EasyCard,47000,1347078120,0,布,1133,175,996-FW,2017/5/26 16:01,17,ぱ不,2017/5/26 16:03,17,ぱ不,21,24,21,3
EasyCard,47000,134933985,0,布,1133,105,950-FW,2017/5/29 12:18,12,び緗徽,2017/5/29 12:54,15,嘹也爵,43,49,43,6
EasyCard,47000,135417937,0,布,1133,182,493-FQ,2017/5/21 15:41,2,浆,2017/5/21 15:45,0,浆ó,21,24,21,3
EasyCard,47000,1367825152,0,布,1133,189,427-FQ,2017/5/23 14:46,12,び緗徽,2017/5/23 15:16,6,眃贾,48,54,48,6
EasyCard,47000,137022127,0,布,1133,189,427-FQ,2017/5/7 12:11,12,び緗徽,2017/5/7 12:57,17,ぱ不,68,78,68,10
EasyCard,47000,137037329,0,布,1133,189,427-FQ,2017/5/7 12:11,12,び緗徽,2017/5/7 12:57,17,ぱ不,68,78,68,10
EasyCard,47000,1378686462,0,布,1133,189,427-FQ,2017/5/23 15:39,1,盵,2017/5/23 15:59,0,浆ó,21,24,21,3
EasyCard,47000,139175921,0,布,1133,109,495-FQ,2017/5/4 16:11,11,碔,2017/5/4 17:02,0,浆ó,85,96,85,11
EasyCard,47000,139274209,0,布,1133,189,427-FQ,2017/5/7 10:49,0,浆ó,2017/5/7 10:49,0,浆ó,21,24,21,3
EasyCard,47000,140946689,0,布,1133,227,423-FQ,2017/5/1 10:44,0,浆ó,2017/5/1 11:00,0,浆ó,21,24,21,3
EasyCard,47000,140949841,0,布,1126,133,930-FW,2017/5/28 07:25,12,び緗徽,2017/5/28 07:37,15,嘹也爵,30,34,30,4
EasyCard,47000,141705391,0,布,1133,247,978-FW,2017/5/28 15:47,15,嘹也爵,2017/5/28 16:10,17,ぱ不,25,29,25,4
EasyCard,47000,1428681024,0,布,1141,135,927-FW,2017/5/27 16:05,24,拉,2017/5/27 19:35,0,浆ó,298,339,298,41
EasyCard,47000,1433360374,0,布,1133,123,955-FW,2017/5/30 10:55,0,浆ó,2017/5/30 11:23,5,瓾,33,38,33,5
EasyCard,47000,1433360374,0,布,1133,145,930-FW,2017/5/29 13:55,0,浆ó,2017/5/29 14:36,5,瓾,33,38,33,5
